x,y,token
-32.654423,-35.53838,Nobody
-48.192112,1.4129248,mentioned
-31.522722,-38.902523,glad
-31.534246,-28.71364,lucky
-47.580997,-19.05484,slighted
-17.33578,28.599669,upon
-51.261723,-16.852175,account
-8.052245,-31.045847,make
46.317837,-31.551702,servant
-33.67985,-27.066359,pretty
38.291904,-24.22667,spoken
-49.556484,26.766058,girl
-50.639412,-16.351141,opinion
-17.318083,-21.792286,Whenever
-27.252474,-31.8935,asks
-14.60016,-30.539799,me
-28.667149,-35.24493,do
-44.009037,-6.9902043,manner
44.08595,16.525253,needlework
-38.929634,-33.330086,observe
-11.151352,41.03142,turns
-11.330422,54.068993,lock
-17.262983,43.6277,door
-17.310638,-22.891142,right
-40.631393,-23.56813,comfort
-22.975126,-32.179398,somebody
-27.295376,27.783796,about
-7.592251,-46.020184,goes
-51.573025,-27.047075,hearing
-28.92587,-36.556946,tell
-47.732872,-19.611282,spared
-50.67691,-10.791836,exertions
3.9349642,-20.284157,maintain
21.427437,21.415472,flow
-53.073532,-13.221578,ideas
-51.3538,-26.02551,hoped
-8.326631,-34.385822,help
-53.5393,-13.435581,tolerably
-6.829452,8.330561,attacked
-52.94956,-12.098872,regrets
-14.438987,54.865738,table
-33.215282,6.076488,placed
-53.155106,-3.3389966,visitor
-44.554256,18.931091,immediately
-46.16332,14.7137785,afterwards
-12.621719,36.78234,walked
-57.67365,-11.888184,unnecessary
-57.108135,17.313086,Knightley
-53.630554,-20.25728,sensible
55.81798,14.74294,eight
55.65719,14.759199,thirty
-49.15544,-9.278676,intimate
-58.180466,-15.590166,connected
53.017494,-31.331255,elder
52.776604,-32.573544,brother
-49.956856,-7.239395,frequent
-3.5014591,-38.632847,welcome
-52.959686,7.9165454,directly
-50.565304,-8.648609,mutual
-43.05211,-4.9661293,connexions
-48.399483,12.852462,returned
-30.87332,-25.711939,late
44.64142,-14.887545,days
-52.656677,0.32426512,absence
-48.817448,6.8794656,Brunswick
-49.01399,7.84246,Square
-58.592743,-14.8757305,circumstance
-41.58909,-7.188104,animated
-52.835117,-3.6292477,inquiries
43.03591,-28.786055,answered
13.767446,-36.667255,When
-40.29048,-12.559559,gratefully
-37.833744,13.22566,observed
-15.945091,-30.299711,come
-25.176857,48.69762,out
24.237274,-33.89141,call
-32.199436,-39.271675,afraid
-34.853107,-25.962385,shocking
-1.0709323,-46.83867,Not
-25.780214,-40.49575,sir
-25.236393,16.02358,beautiful
10.891221,42.136345,moonlight
19.473501,52.25435,mild
12.6262,-29.067163,draw
-26.343895,49.44109,back
36.464962,9.687825,fire
-22.272366,-10.612796,found
-3.8183143,5.7786756,damp
-14.78137,31.017815,dirty
-21.929943,-35.252888,catch
-3.7812417,5.870444,cold
-14.8951025,-42.345142,Look
-16.59703,48.74743,shoes
-25.898758,-41.94632,Well
-33.09871,-26.987846,quite
-39.660984,-11.296611,surprising
20.568138,43.307705,vast
31.356056,25.231031,rain
46.13984,0.27242827,rained
-33.980984,-28.02155,dreadfully
-13.876014,-22.92872,hard
-50.4195,9.175389,breakfast
-50.039417,-28.191935,wanted
13.055758,-42.945103,By
-16.706945,-40.542076,bye
16.9703,-7.040078,joy
29.181206,-34.133064,Being
-31.739664,22.940258,sort
-45.02752,-18.398598,feeling
-41.563725,22.99205,hurry
-51.303207,-2.9468977,congratulations
-39.72045,-25.089504,hope
-18.693724,55.062126,went
-36.828285,-32.38887,behave
17.2655,-42.014816,Who
-41.162334,29.19476,cried
-16.72822,-42.411728,Ah
10.299585,-51.030743,Tis
-27.681816,-27.165684,business
-27.415184,-33.323963,please
-42.021427,-27.001827,possibly
-24.851927,-39.19075,`
-21.485466,-40.497547,.'
-42.46785,-20.745773,regard
-7.5677357,-46.022934,comes
-42.742134,-33.119633,question
-52.914516,-15.001203,dependence
-48.264923,-8.766561,independence
18.014954,6.6736765,At
-35.046955,-17.64953,rate
-26.19457,-24.979282,better
